"user_id","first_name","last_name","username","email","wallet","DATE(u.DOB)","gender","DATE(u.updated_date)","add_id","type","street_address","city","state","zipcode","bank_id","DATE(b.exp_date)","inven_id","item_id","bought_price","quantity"
"AUvmERcHJV","John","Jake","JohnJakeepj","JohnJakeepj@yahoo.com","4282.310","1991-08-23","F","2021-04-29","SK0QhJuWLl","home","276 st","London","OH","4092","SeNdkgd6iY","2000-05-01","047dKiHcac","ZpRqyYvwjE","131.180","7.000"
"AUvmERcHJV","John","Jake","JohnJakeepj","JohnJakeepj@yahoo.com","4282.310","1991-08-23","F","2021-04-29","SK0QhJuWLl","home","276 st","London","OH","4092","Y39W1nStN3","1996-01-01","047dKiHcac","ZpRqyYvwjE","131.180","7.000"
"nPueP8teXb","Kiran","Sai","KiranSaisN8","KiranSaisN8@gmail.com","9781.620","2000-12-01","M","2021-04-29","2zeaBVZp4L","work","846 st","Brooklyn","OH","32956","cTfBDtXvCP","1992-04-01","0kxUQLxR8d","2wBXSwxsCj","253.810","165.000"
"nPueP8teXb","Kiran","Sai","KiranSaisN8","KiranSaisN8@gmail.com","9781.620","2000-12-01","M","2021-04-29","2zeaBVZp4L","work","846 st","Brooklyn","OH","32956","YwfL2jVn0o","2003-07-01","0kxUQLxR8d","2wBXSwxsCj","253.810","165.000"
"1q9fHdEpxr","Sai","Ann","SaiAnnfXy","SaiAnnfXy@icloud.com","395.040","1994-10-12","F","2021-04-29","DWIIozt3aA","home","509 st","New York","CA","15458","rYlJ3Ku3D4","2003-06-01","0qdjvUrfFw","ZpRqyYvwjE","137.180","92.000"
"1q9fHdEpxr","Sai","Ann","SaiAnnfXy","SaiAnnfXy@icloud.com","395.040","1994-10-12","F","2021-04-29","qyw0ssSTXg","home","967 st","Buffalo","TX","92587","rYlJ3Ku3D4","2003-06-01","0qdjvUrfFw","ZpRqyYvwjE","137.180","92.000"
"k6oknsVR6z","Ann","John","AnnJohnsGj","AnnJohnsGj@yahoo.com","7409.180","2008-05-11","M","2021-04-29","jKZNuqp8gg","home","578 st","London","OH","32280","9p8o8QQIEW","2001-09-01","13rPZIMd7s","2wBXSwxsCj","254.810","85.000"
"k6oknsVR6z","Ann","John","AnnJohnsGj","AnnJohnsGj@yahoo.com","7409.180","2008-05-11","M","2021-04-29","LnPLlw2aTi","home","944 st","New York","CA","64322","9p8o8QQIEW","2001-09-01","13rPZIMd7s","2wBXSwxsCj","254.810","85.000"
"k6oknsVR6z","Ann","John","AnnJohnsGj","AnnJohnsGj@yahoo.com","7409.180","2008-05-11","M","2021-04-29","jKZNuqp8gg","home","578 st","London","OH","32280","XwIQOVlKPp","2002-07-01","13rPZIMd7s","2wBXSwxsCj","254.810","85.000"
"k6oknsVR6z","Ann","John","AnnJohnsGj","AnnJohnsGj@yahoo.com","7409.180","2008-05-11","M","2021-04-29","LnPLlw2aTi","home","944 st","New York","CA","64322","XwIQOVlKPp","2002-07-01","13rPZIMd7s","2wBXSwxsCj","254.810","85.000"
